track_number,explicit,artist_popularity,album_total_tracks,track_duration_min,artist_followers_log,is_album,is_compilation,is_single,track_artist_ratio,dur_Short,dur_Medium,dur_Long,is_collaboration,release_month,Is_Top_50
1,0,-1.258855905,0,0.573385519,-1.098605747,0,0,1,-0.121543765,0,1,0,0,9,
1,0,-1.258855905,0,0.612524462,-1.397860307,0,0,1,0.078594751,0,1,0,0,9,
12,0,-1.055240042,0.072222222,0.495107632,-2.223989301,1,0,0,0.372309608,0,1,0,0,9,
14,0,-1.055240042,0.072222222,0.557729941,-2.227119382,1,0,0,0.690651826,0,1,0,0,9,
11,0,-1.055240042,0.072222222,0.39334638,-2.223989301,1,0,0,0.531480717,0,1,0,0,9,
8,0,-1.055240042,0.072222222,0.493150685,-2.225303346,1,0,0,0.451895162,0,1,0,0,9,
1,1,-2.429647119,0,0.42074364,-3.153792886,0,0,1,0.2826798,0,1,0,0,9,
1,0,-2.582359017,0,0.53816047,-2.31071125,0,0,1,0.265963075,0,1,0,0,9,
1,0,-2.327839188,0,0.544031311,-2.10031122,0,0,1,0.295042792,0,1,0,0,9,
1,1,0.930014625,0,0.559686888,0.389623851,0,0,1,1.744795622,0,1,0,0,9,
1,1,-2.582359017,0,0.57925636,-3.021403888,0,0,1,0.249702397,0,1,0,0,9,
1,1,0.726398762,0,0.722113503,0.536662785,0,0,1,1.251159584,0,0,1,0,9,
1,0,-2.633262983,0,0.540117417,-3.234423154,0,0,1,0.404338769,0,1,0,0,9,
1,0,-0.037160725,0,0.661448141,-0.613328021,0,0,1,-17.67765135,0,1,0,0,9,
6,0,-2.531455051,0.033333333,0.522504892,-2.141912514,0,0,1,0.321074189,0,1,0,0,9,
1,1,0.726398762,0.011111111,0.655577299,0.397915384,0,0,1,1.887035087,0,1,0,0,9,
1,0,-1.818799529,0,0.499021526,-1.729341103,0,0,1,0.077485372,0,1,0,0,9,
2,1,-1.157047974,0.016666667,0.614481409,-2.112382138,0,0,1,0.012927396,0,1,0,1,9,
2,0,-2.327839188,0.127777778,0.86888454,-3.527195878,1,0,0,0.168772742,0,0,1,0,9,
1,0,-2.78597488,0,0.69667319,-2.064455092,0,0,1,0.352030624,0,0,1,0,9,
3,0,-2.887782812,0.016666667,0.851272016,-2.937414878,0,0,1,0.325079003,0,0,1,0,9,
1,0,-2.276935222,0,0.643835616,-2.373421908,0,0,1,0.172545886,0,1,0,0,9,
1,1,-2.276935222,0.005555556,0.493150685,-2.58992589,0,0,1,0.209429598,0,1,0,0,9,
1,1,-2.276935222,0,0.536203523,-1.680584329,0,0,1,0.246313309,0,1,0,0,9,
1,1,-2.531455051,0,0.665362035,-1.930402814,0,0,1,0.321074189,0,1,0,0,9,
1,0,-2.378743154,0,0.645792564,-2.068183819,0,0,1,0.23577133,0,1,0,0,9,
1,0,-2.378743154,0,0.56555773,-2.951075875,0,0,1,0.200466207,0,1,0,0,9,
1,0,-2.429647119,0,0.387475538,-2.203848036,0,0,1,0.248114361,0,1,0,0,9,
5,0,0.930014625,0.061111111,0.536203523,-0.169822803,1,0,0,1.699644883,0,1,0,0,9,
1,1,-2.378743154,0,0.491193738,-3.081857257,0,0,1,0.218118769,0,1,0,0,9,
1,1,-2.684166949,0,0.589041096,-2.347370748,0,0,1,0.287163193,0,1,0,0,9,
1,1,-3.345918504,0,0.563600783,-2.218305512,0,0,1,0.493916062,0,1,0,0,9,
1,0,-2.633262983,0,0.536203523,-2.94077362,0,0,1,0.260821705,0,1,0,0,9,
1,0,-1.615183666,0,0.553816047,-1.858539568,0,0,1,0.399224806,0,1,0,0,9,
1,0,-3.193206607,0,0.534246575,-4.114039991,0,0,1,0.412336512,0,1,0,0,9,
1,1,-0.393488486,0,0.499021526,-0.580021089,0,0,1,-1.669422012,0,1,0,0,9,
1,0,-3.091398675,0,0.489236791,-3.430364591,0,0,1,0.371583282,0,1,0,0,9,
1,0,-2.429647119,0.027777778,0.40704501,-2.94588158,0,0,1,0.26539708,0,1,0,0,9,
3,0,-1.767895564,0.072222222,0.526418787,-2.235852612,1,0,0,0.48349911,0,1,0,0,9,
1,0,-3.040494709,0,0.692759295,-3.276717209,0,0,1,0.35018323,0,0,1,0,9,
6,0,-2.735070914,0.033333333,0.502935421,-3.109814872,1,0,0,0.527462911,0,1,0,0,9,
1,1,-3.39682247,0,0.473581213,-4.045463105,0,0,1,0.486514353,0,1,0,0,9,
8,0,0.370071001,0.072222222,0.839530333,-0.17768523,1,0,0,2.909719161,0,0,1,0,9,
13,1,0.573686864,0.122222222,0.583170254,0.706466897,1,0,0,1.584209952,0,1,0,0,9,
1,0,-0.902528145,0.011111111,0.587084149,-1.470756038,0,0,1,0.388780264,0,1,0,0,9,
7,0,-2.633262983,0.061111111,0.485322896,-2.864855363,1,0,0,0.404338769,0,1,0,0,9,
1,1,-1.055240042,0.005555556,0.477495108,-1.748721022,0,0,1,0.133552944,0,1,0,0,9,
8,1,0.573686864,0.122222222,0.56555773,0.706466897,1,0,0,1.657404619,0,1,0,1,9,
1,0,-0.59710435,0,0.459882583,-0.883568277,0,0,1,0.37667192,0,1,0,0,9,
1,0,-2.582359017,0.016666667,0.708414873,-2.94077362,0,0,1,0.282223753,0,0,1,0,9,
3,1,0.573686864,0.122222222,0.567514677,0.706516685,1,0,0,1.364625951,0,1,0,0,9,
1,0,-2.78597488,0,0.69667319,-2.396668841,0,0,1,0.321886126,0,0,1,0,9,
1,0,-1.767895564,0,0.428571429,-2.229112828,0,0,1,0.340987583,0,1,0,0,9,
1,1,0.26826307,0,0.436399217,0.490386305,0,0,1,2.6052224,0,1,0,0,9,
16,1,0.573686864,0.122222222,0.463796477,0.706516685,1,0,0,1.218236617,0,1,0,0,9,
3,0,-2.429647119,0.016666667,0.745596869,-2.342511804,0,0,1,0.369093397,0,0,1,0,9,
1,0,-2.989590743,0,0.753424658,-2.712117474,0,0,1,0.426374345,0,0,1,0,9,
1,0,0.573686864,0,0.626223092,0.02794373,0,0,1,2.901713957,0,1,0,0,9,
1,0,-2.429647119,0,0.594911937,-3.337828421,0,0,1,0.213548922,0,1,0,0,9,
2,1,-1.716991598,0.011111111,0.563600783,-1.359494619,0,0,1,0.253272514,0,1,0,0,9,
1,0,-2.429647119,0,0.763209393,-2.871522042,0,0,1,0.213548922,0,0,1,0,9,
1,0,-1.004336076,0,0.426614481,-1.993914356,0,0,1,-0.068726247,0,1,0,0,9,
1,0,-0.138968657,0.011111111,0.843444227,0.056795458,0,0,1,-1.705344639,0,0,1,0,9,
1,0,-0.393488486,0,0.634050881,-0.751600496,0,0,1,1.425303782,0,1,0,0,9,
11,0,-1.157047974,0.066666667,0.802348337,-0.85142779,1,0,0,0.956504641,0,0,1,0,9,
4,0,-1.869703495,0.016666667,0.616438356,-1.833580048,0,0,1,0.299961734,0,1,0,0,9,
1,0,-0.851624179,0.011111111,0.56555773,-1.511234499,0,0,1,0.017563641,0,1,0,0,9,
2,0,-1.869703495,0.016666667,0.563600783,-1.833258125,0,0,1,0.187668756,0,1,0,0,9,
1,0,-1.869703495,0.016666667,0.589041096,-1.833350068,0,0,1,0.232585947,0,1,0,0,9,
1,1,-2.938686778,0,0.573385519,-2.705764342,0,0,1,0.505205028,0,1,0,0,9,
1,0,-3.345918504,0.005555556,0.499021526,-2.811695123,0,0,1,0.443716508,0,1,0,0,9,
1,1,-1.869703495,0,0.575342466,-2.767347509,0,0,1,0.120292969,0,1,0,0,9,
1,0,-3.142302641,0.055555556,0.749510763,-3.751813571,1,0,0,0.485831692,0,0,1,0,9,
5,0,-3.142302641,0.055555556,0.784735812,-3.751813571,1,0,0,0.485831692,0,0,1,0,9,
4,1,-3.142302641,0.027777778,0.886497065,-3.406405307,0,0,1,0.472468591,0,0,1,0,9,
1,1,-2.022415393,0,0.769080235,-2.262159781,0,0,1,0.194260699,0,0,1,0,9,
8,0,-2.735070914,0.055555556,0.624266145,-2.177952992,1,0,0,0.65028505,0,1,0,0,9,
1,0,-1.309759871,0,0.534246575,-2.292566188,0,0,1,0.364080312,0,1,0,0,9,
1,0,-3.040494709,0,0.612524462,-3.44744242,0,0,1,0.35018323,0,1,0,0,9,
2,0,-1.157047974,0.044444444,0.549902153,-1.816008907,1,0,0,0.085510261,0,1,0,0,9,
1,0,-1.818799529,0,0.651663405,-3.112755773,0,0,1,-0.014863267,0,1,0,0,9,
1,0,-1.971511427,0,0.489236791,-2.083983742,0,0,1,0.220575311,0,1,0,0,9,
4,1,-1.157047974,0.044444444,0.381604697,-1.817140848,1,0,0,0.121801693,0,1,0,0,9,
1,1,-2.429647119,0,0.31702544,-3.465525391,0,0,1,0.213548922,1,0,0,0,9,
1,0,-1.869703495,0,0.571428571,-2.265143512,0,0,1,0.255044543,0,1,0,0,9,
1,1,-2.78597488,0,0.403131115,-3.406405307,0,0,1,0.291741628,0,1,0,0,9,
6,0,0.930014625,0.066666667,0.688845401,1.184051965,1,0,0,1.202986761,0,0,1,0,9,
1,0,-3.193206607,0,0.567514677,-2.410186129,0,0,1,0.49123696,0,1,0,0,9,
1,1,0.26826307,0,0.502935421,-0.682261824,0,0,1,5.109673616,0,1,0,0,9,
1,0,-3.345918504,0,0.520547945,-4.045463105,0,0,1,0.456266396,0,1,0,0,9,
1,0,-1.258855905,0,0.387475538,-2.105952341,0,0,1,-0.054830926,0,1,0,0,9,
2,0,0.777302728,0.005555556,0.753424658,0.902294948,0,0,1,0.142820713,0,0,1,0,9,
1,0,0.726398762,0.005555556,0.790606654,0.902084443,0,0,1,0.499670353,0,0,1,0,9,
1,0,-2.531455051,0,0.581213307,-2.220242421,0,0,1,0.37083716,0,1,0,0,9,
1,0,-1.106144008,0.011111111,0.536203523,-1.701262379,0,0,1,0.317214627,0,1,0,0,9,
1,1,-1.5642797,0,0.530332681,-1.717951552,0,0,1,-0.044125245,0,1,0,1,9,
1,0,-1.716991598,0,0.500978474,-1.887346759,0,0,1,0.130992019,0,1,0,0,9,
1,0,-2.938686778,0.072222222,0.647749511,-3.370208008,1,0,0,0.348025986,0,1,0,0,9,
1,0,-0.291680555,0.005555556,0.495107632,-0.23523077,0,0,1,-0.380606288,0,1,0,0,9,
3,0,1.082726523,0.238888889,0.547945205,1.071082624,1,0,0,0.878183011,0,1,0,0,9,
3,0,-2.531455051,0.016666667,0.684931507,-2.528108394,0,0,1,0.321074189,0,0,1,0,9,
1,0,0.930014625,0,0.729941292,0.856130398,0,0,1,1.428740453,0,0,1,0,9,
15,0,0.930014625,0.088888889,0.749510763,0.856130398,1,0,0,0.164519779,0,0,1,0,9,
9,0,0.980918591,0.088888889,0.729941292,0.856408522,1,0,0,1.183366494,0,0,1,0,9,
6,0,0.930014625,0.088888889,0.784735812,0.856268997,1,0,0,0.39027347,0,0,1,0,9,
17,0,0.930014625,0.088888889,0.806262231,0.856130398,1,0,0,0.11936904,0,0,1,0,9,
1,0,0.930014625,0.088888889,0.735812133,0.856130398,1,0,0,0.39027347,0,0,1,0,9,
12,0,0.930014625,0.088888889,0.722113503,0.856268997,1,0,0,0.254821255,0,0,1,0,9,
3,0,0.930014625,0.088888889,0.767123288,0.856268997,1,0,0,0.435424209,0,0,1,0,9,
1,0,-2.582359017,0,0.665362035,-2.821846125,0,0,1,0.249702397,0,1,0,0,9,
8,0,0.930014625,0.088888889,0.681017613,0.856268997,1,0,0,0.345122732,0,0,1,0,9,
11,1,0.930014625,0.088888889,0.765166341,0.856130398,1,0,0,0.345122732,0,0,1,0,9,
13,0,0.930014625,0.088888889,0.790606654,0.856268997,1,0,0,0.616027162,0,0,1,0,9,
7,1,0.930014625,0.088888889,0.673189824,0.856268997,1,0,0,0.299971994,0,0,1,1,9,
4,0,0.980918591,0.088888889,0.733855186,0.856408522,1,0,0,0.327212889,0,0,1,0,9,
14,0,0.930014625,0.088888889,0.636007828,0.856268997,1,0,0,0.254821255,0,1,0,0,9,
10,0,0.930014625,0.088888889,0.616438356,0.856130398,1,0,0,0.345122732,0,1,0,0,9,
1,0,-0.393488486,0.016666667,0.508806262,-0.302571656,0,0,1,1.425303782,0,1,0,0,9,
2,0,0.980918591,0.088888889,0.714285714,0.856408522,1,0,0,0.41282825,0,0,1,0,9,
16,0,0.930014625,0.088888889,0.823874755,0.856268997,1,0,0,0.11936904,0,0,1,0,9,
5,1,0.930014625,0.088888889,0.673189824,0.856130398,1,0,0,0.525725686,0,0,1,0,9,
1,0,-1.920607461,0,0.506849315,-2.577768841,0,0,1,0.204558113,0,1,0,0,8,
1,1,-2.938686778,0,0.457925636,-2.083983742,0,0,1,0.462338017,0,1,0,0,8,
1,0,-2.582359017,0,0.833659491,-3.160622541,0,0,1,0.347266465,0,0,1,0,8,
1,0,-1.411567803,0,0.512720157,-1.655951036,0,0,1,0.248578205,0,1,0,0,8,
8,0,1.082726523,0.061111111,0.459882583,0.713311297,1,0,0,1.498703189,0,1,0,0,8,
4,1,1.082726523,0.061111111,0.585127202,0.713562117,1,0,0,1.227225611,0,1,0,0,8,
2,0,1.082726523,0.061111111,0.506849315,0.713311297,1,0,0,1.5374857,0,1,0,0,8,
1,0,-1.106144008,0,0.440313112,-0.799389313,0,0,1,0.507022327,0,1,0,0,8,
2,0,0.217359104,0.005555556,0.428571429,-0.195946345,0,0,1,2.442600944,0,1,0,0,8,
5,1,1.082726523,0.061111111,0.647749511,0.713562117,1,0,0,1.149660589,0,1,0,0,8,
1,1,-0.037160725,0.005555556,0.444227006,-0.014886566,0,0,1,9.442608552,0,1,0,0,8,
